GROUP_AC7	GROUP_AC8	GROUP_AC9	GROUP-BN1	GROUP-BN2	GROUP-BN3
ENSG00000240772.3	0	0	0	0	0	0
ENSG00000248913.1	0	0	0	0	0	0
ENSG00000222721.1	0	0	0	0	0	0
ENSG00000270336.1	0	0	0	0	0	0
ENSG00000248601.1	0	0	0	0	0	0
ENSG00000109511.12	4	45	11	131	22	13
ENSG00000287188.1	1	0	0	15	13	5
ENSG00000137628.18	2000	1161	1090	2085	2848	1334
ENSG00000181381.15	1634	1560	2091	2005	3155	1619
ENSG00000207171.1	0	0	0	0	0	0
ENSG00000129116.19	48637	66013	44164	54763	87435	55125
ENSG00000229226.3	0	0	0	0	0	0
ENSG00000249623.1	0	0	0	0	0	0
ENSG00000206613.1	0	0	0	0	0	0
ENSG00000214676.4	0	0	0	20	7	3
ENSG00000249609.1	1	5	1	0	11	7
ENSG00000279384.1	106	167	49	180	177	339
ENSG00000145439.12	874	851	1486	919	1267	860
ENSG00000201176.1	22	16	20	46	11	52
ENSG00000201818.1	0	0	0	0	0	0
ENSG00000251445.1	6	2	0	0	0	0
ENSG00000154447.15	3115	3292	4012	8872	5993	4732
ENSG00000214671.4	0	0	0	0	0	0
ENSG00000251171.1	0	0	0	0	0	0
ENSG00000137601.17	2081	2182	1744	1913	2057	2084
ENSG00000286302.1	1	0	0	0	0	0
ENSG00000109572.14	4829	4138	4630	6436	5772	6814
ENSG00000056050.7	632	778	753	688	911	825
ENSG00000229204.3	7	20	2	23	29	14
ENSG00000248625.1	0	1	0	0	1	0
ENSG00000287660.1	0	0	0	0	0	0
ENSG00000288003.1	0	0	0	0	0	0
ENSG00000248319.2	0	0	0	0	1	0
ENSG00000287298.1	0	0	0	0	0	0
ENSG00000251200.2	0	0	0	0	0	0
ENSG00000249955.2	0	0	0	0	0	0
ENSG00000198948.12	136	218	371	148	668	21
ENSG00000109576.14	137	251	499	368	476	304
ENSG00000248822.1	0	0	0	0	0	0
ENSG00000248739.1	0	0	0	0	0	0
ENSG00000250266.2	0	0	0	0	0	0
ENSG00000251061.2	0	0	0	0	0	0
ENSG00000250082.1	0	0	0	0	0	0
ENSG00000181359.5	4	0	2	7	4	3
ENSG00000250968.1	0	0	0	0	0	0
ENSG00000249943.1	0	0	0	0	0	0
ENSG00000251961.1	0	0	0	0	0	0
ENSG00000286580.1	0	0	0	0	0	0
ENSG00000248872.2	0	0	0	0	0	0
ENSG00000249525.1	0	0	0	0	0	0
ENSG00000248755.1	0	0	0	0	0	0
ENSG00000278502.1	0	0	0	0	0	0
ENSG00000248339.1	0	0	0	0	0	0
ENSG00000287210.1	0	0	0	0	0	0
ENSG00000249297.2	0	0	0	0	0	0
ENSG00000251176.1	0	0	0	0	0	0
ENSG00000174473.16	12	35	59	0	0	0
ENSG00000248637.1	0	0	0	0	0	0
ENSG00000245213.7	133	151	197	41	44	175
ENSG00000241652.3	0	1	0	0	0	0
ENSG00000109586.12	2077	2193	2079	1523	1801	4282
ENSG00000221296.2	0	0	0	0	0	0
ENSG00000248774.1	2	14	22	25	4	26
ENSG00000164104.12	878	1049	830	2537	1456	3367
ENSG00000272870.3	17	33	71	42	80	85
ENSG00000164105.4	251	332	301	436	451	589
ENSG00000164106.8	89	370	126	32	30	29
ENSG00000288025.1	14	31	23	40	52	103
ENSG00000242882.1	2	1	0	1	3	0
ENSG00000286226.1	0	0	4	10	0	3
ENSG00000252898.1	0	0	0	0	0	0
ENSG00000261646.1	0	3	0	0	0	0
ENSG00000286039.1	51	117	132	60	16	61
ENSG00000164107.9	11	332	99	32	195	761
ENSG00000237125.11	12	331	38	13	60	192
ENSG00000234801.3	1	4	1	6	7	4
ENSG00000213370.3	0	0	1	2	9	0
ENSG00000250708.2	0	4	3	0	0	0
ENSG00000250043.1	0	0	0	0	0	1
ENSG00000251216.2	0	3	0	1	5	29
ENSG00000248174.6	3	8	5	4	2	14
ENSG00000250957.1	0	0	0	0	0	0
ENSG00000251213.1	0	0	0	0	0	0
ENSG00000164117.14	813	1001	864	883	1560	941
ENSG00000164118.13	834	1036	1072	892	1234	1112
ENSG00000249875.1	0	0	0	0	0	0
ENSG00000265846.1	0	0	0	0	0	0
ENSG00000164120.14	0	1	0	0	0	6
ENSG00000251584.2	0	0	0	0	0	0
ENSG00000250596.2	0	0	0	0	0	0
ENSG00000145451.13	0	0	0	0	1	0
ENSG00000168594.15	0	0	0	0	0	0
ENSG00000250200.1	0	0	0	0	0	0
ENSG00000250431.1	0	0	8	1	1	0
ENSG00000249411.1	0	0	0	0	0	0
ENSG00000286494.1	0	1	27	8	7	0
ENSG00000249284.1	0	0	0	0	0	0
ENSG00000248551.1	1	2	0	1	12	0
ENSG00000249945.2	0	0	0	0	0	0
ENSG00000251174.1	0	0	0	0	0	0
ENSG00000248574.1	0	0	0	0	0	0
ENSG00000150625.16	0	35	0	0	0	0
ENSG00000249106.1	0	0	0	0	0	0
ENSG00000248249.1	0	0	0	0	0	0
ENSG00000250372.1	0	0	0	0	0	0
ENSG00000150627.16	129	293	40	86	170	117
ENSG00000201516.1	0	2	0	0	0	0
ENSG00000150628.7	11	32	22	19	29	4
ENSG00000164122.9	2304	14302	7844	3714	10443	19472
ENSG00000248980.1	11	13	9	7	20	6
ENSG00000129128.13	19199	14341	15499	16916	36743	12093
ENSG00000248480.1	0	0	0	3	0	0
ENSG00000248388.5	0	0	0	0	0	0
ENSG00000150630.4	2568	2399	1004	7201	2299	4982
ENSG00000287544.1	1	1	0	1	0	9
ENSG00000249458.1	0	0	0	0	0	0
ENSG00000250263.2	0	0	0	0	0	7
ENSG00000222859.1	0	0	0	0	0	0
ENSG00000249008.1	0	0	0	0	0	0
ENSG00000109674.4	103	56	41	473	118	602
ENSG00000249084.1	0	0	0	0	0	0
ENSG00000038002.9	1881	1781	823	1474	3062	1001
ENSG00000250131.2	38	42	10	24	52	13
ENSG00000201931.1	0	0	0	0	0	0
ENSG00000251416.1	0	0	0	0	0	0
ENSG00000231171.4	0	0	0	0	0	0
ENSG00000251504.1	0	0	1	0	0	0
ENSG00000253000.1	0	0	0	0	0	0
ENSG00000241877.1	0	1	0	4	2	0
ENSG00000201727.1	0	0	0	0	0	0
ENSG00000212191.1	0	0	0	0	0	0
ENSG00000250839.1	0	0	0	0	0	0
ENSG00000250993.1	0	0	0	0	0	0
ENSG00000248921.1	0	0	0	0	0	0
ENSG00000287083.1	0	1	0	0	0	0
ENSG00000287775.1	0	0	0	4	0	0
ENSG00000251025.1	0	0	0	0	0	0
ENSG00000249883.1	0	0	0	0	0	0
ENSG00000248197.1	0	0	0	0	0	0
ENSG00000248770.1	0	0	0	0	0	0
ENSG00000249460.2	0	0	0	0	0	0
ENSG00000225356.3	0	0	0	0	0	0
ENSG00000286860.1	0	0	0	0	0	0
ENSG00000287948.1	0	0	0	0	0	0
ENSG00000251336.1	0	0	0	0	0	0
ENSG00000251742.1	0	0	0	0	0	0
ENSG00000177822.8	5	18	21	11	14	50
ENSG00000251433.1	0	0	0	1	0	0
ENSG00000218336.9	194	1768	748	268	2241	2043
ENSG00000248266.1	0	0	0	0	0	1
ENSG00000221227.1	0	0	0	0	0	4
ENSG00000252343.1	0	4	0	0	0	5
ENSG00000251714.1	0	0	0	0	0	0
ENSG00000248816.1	0	0	0	0	0	0
ENSG00000248694.1	0	0	0	0	0	0
ENSG00000286119.1	0	0	0	0	0	0
ENSG00000272646.1	12	25	7	8	5	17
ENSG00000129187.15	5642	4699	5195	6256	8085	4471
ENSG00000286821.1	0	0	0	0	0	0
ENSG00000250636.1	0	0	0	0	0	0
ENSG00000230219.3	0	0	0	0	0	0
ENSG00000273180.1	0	1	1	0	3	0
ENSG00000272784.1	4	2	3	1	13	6
ENSG00000251359.4	37	67	28	36	59	14
ENSG00000151718.16	3821	5065	6758	19407	27829	8903
ENSG00000251128.1	0	0	0	0	0	0
ENSG00000177300.7	0	0	0	0	1	2
ENSG00000185758.9	0	0	0	0	0	0
ENSG00000250292.1	0	0	0	0	0	0
ENSG00000248376.2	0	0	0	0	0	0
ENSG00000168564.6	658	700	860	1088	1182	944
ENSG00000213434.2	0	0	0	0	0	0
ENSG00000232648.4	25	23	16	28	57	29
ENSG00000168556.7	479	334	239	433	592	432
ENSG00000272744.1	5	2	17	9	16	2
ENSG00000182552.15	1451	1443	1499	1847	2437	1707
ENSG00000252157.1	2	10	5	0	0	2
ENSG00000168538.16	3097	4274	3348	3786	5005	3366
ENSG00000201433.1	0	0	0	0	0	0
ENSG00000251739.1	0	3	15	21	5	12
ENSG00000287349.1	0	0	0	0	0	0
ENSG00000283383.1	0	0	0	0	0	0
ENSG00000173320.12	409	255	226	3962	4646	1100
ENSG00000248206.2	15	13	1	307	246	111
ENSG00000283355.1	1	5	0	63	110	33
ENSG00000250726.1	0	0	2	0	0	0
ENSG00000164303.11	19	13	0	94	165	68
ENSG00000287433.1	0	0	0	0	0	0
ENSG00000240159.1	0	0	0	0	0	0
ENSG00000244512.3	0	0	0	0	0	0
ENSG00000227765.4	4	10	1	22	16	6
ENSG00000180712.4	4	1	19	9	12	12
ENSG00000249096.7	14	17	11	29	12	23
ENSG00000168310.11	1891	1926	1456	1241	2069	1380
ENSG00000251878.1	0	0	0	0	0	0
ENSG00000270426.1	8	37	20	29	49	28
ENSG00000271646.1	66	83	54	92	134	84
ENSG00000286292.1	3	6	0	0	2	0
ENSG00000271538.6	2	15	33	23	34	8
ENSG00000249056.1	0	0	0	0	0	0
ENSG00000254233.1	0	4	0	10	0	4
ENSG00000164305.19	2182	1938	1872	3421	2864	2263
ENSG00000164306.11	648	693	536	783	682	547
ENSG00000151725.12	135	44	80	1060	327	1045
ENSG00000151726.15	3445	4273	3285	3051	4216	2322
ENSG00000249138.1	0	1	0	11	2	8
ENSG00000251139.2	0	0	0	0	0	0
ENSG00000286256.2	0	3	0	0	0	0
ENSG00000251230.6	0	0	0	0	0	0
ENSG00000266698.1	0	0	0	0	0	0
ENSG00000249173.6	0	0	0	0	0	0
ENSG00000251147.1	0	0	0	0	0	0
ENSG00000263458.1	0	0	0	0	0	0
ENSG00000279460.1	0	0	0	0	0	0
ENSG00000248517.1	0	0	0	0	0	0
ENSG00000187821.8	0	0	0	0	0	0
ENSG00000250754.6	0	0	4	0	0	0
ENSG00000249520.1	0	0	0	0	0	0
ENSG00000287183.1	0	0	0	0	0	0
ENSG00000151729.11	870	1913	1587	1891	2707	1655
ENSG00000164323.14	4203	4873	3896	5577	6495	4900
ENSG00000109762.16	1565	1902	1985	2335	2292	1980
ENSG00000109771.16	26	36	26	35	18	31
ENSG00000250410.1	0	8	5	13	10	22
ENSG00000186352.9	74	139	203	157	127	132
ENSG00000109775.11	1152	1121	1166	1242	1999	1385
ENSG00000207231.1	0	1	4	3	7	15
ENSG00000205129.9	17	36	65	7	16	12
ENSG00000168491.10	278	128	125	24	77	286
ENSG00000249679.2	59	82	26	0	23	8
ENSG00000154553.16	3559	4299	3279	169	1486	4723
ENSG00000154556.18	708	1275	383	3	1066	377
ENSG00000233110.1	0	0	0	0	0	0
ENSG00000235902.1	0	0	0	0	5	0
ENSG00000207497.1	0	3	0	0	0	0
ENSG00000285745.1	0	1	0	0	5	3
ENSG00000235149.1	0	0	0	0	0	0
ENSG00000222727.1	0	0	0	0	0	0
ENSG00000164342.13	560	430	213	1588	2274	680
ENSG00000109794.13	22	274	39	163	319	60
ENSG00000253013.1	0	0	0	0	0	0
ENSG00000250327.1	2	15	14	5	3	11
ENSG00000251008.1	0	0	0	0	0	0
ENSG00000279943.1	1	12	9	11	1	13
ENSG00000145476.16	727	1827	1257	1787	1243	990
ENSG00000164344.16	0	12	6	24	0	6
ENSG00000088926.14	0	1	0	5	0	1
ENSG00000251165.6	1	0	0	0	0	0
ENSG00000287667.1	0	0	0	0	0	0
ENSG00000213332.4	0	1	0	0	0	0
ENSG00000272297.2	0	0	0	0	0	0
ENSG00000212387.1	0	0	0	0	0	0
ENSG00000168412.6	2	0	0	0	0	3
ENSG00000083857.14	55132	44076	79209	28364	17823	77165
ENSG00000287169.1	2	0	0	0	0	0
ENSG00000250829.2	0	1	1	0	0	3
ENSG00000272218.1	0	0	13	0	0	0
ENSG00000249539.1	0	0	0	0	0	0
ENSG00000249742.2	0	0	0	0	0	0
ENSG00000250971.3	8	9	9	0	4	0
ENSG00000287571.1	0	0	0	0	0	0
ENSG00000249747.1	0	0	0	0	0	0
ENSG00000250658.1	0	0	0	0	0	0
ENSG00000250042.1	0	0	0	0	0	0
ENSG00000250620.2	0	0	0	0	0	0
ENSG00000251643.1	0	0	0	0	0	0
ENSG00000251490.1	0	0	0	0	0	0
ENSG00000250590.6	0	0	0	0	0	0
ENSG00000249642.2	0	0	0	0	0	2
ENSG00000249162.1	0	0	0	0	0	0
ENSG00000286641.1	0	0	0	0	0	0
ENSG00000213331.4	1	0	0	2	1	0
ENSG00000179059.10	0	0	0	0	16	2
ENSG00000179046.9	0	0	0	7	0	2
ENSG00000241011.1	0	0	0	0	0	0
ENSG00000201085.1	0	0	0	0	0	0
ENSG00000184108.8	0	0	0	0	0	0
ENSG00000247130.2	0	0	0	0	0	0
ENSG00000248370.2	0	0	0	0	0	0
ENSG00000242169.2	1	0	1	7	6	0
ENSG00000248880.1	0	0	0	0	1	0
ENSG00000249378.6	0	1	0	0	0	0
ENSG00000250523.1	0	0	0	0	0	0
ENSG00000275826.1	0	0	0	0	0	0
ENSG00000252275.1	0	0	0	0	0	0
ENSG00000180015.12	92	77	39	243	222	90
ENSG00000278974.1	18	21	19	56	50	27
ENSG00000249269.2	0	0	0	0	0	0
ENSG00000251619.1	0	0	0	0	0	0
ENSG00000250626.3	0	0	0	0	0	0
ENSG00000250024.1	0	0	0	0	0	0
ENSG00000251310.1	0	0	0	0	0	0
ENSG00000249877.1	0	0	0	0	0	0
ENSG00000205100.2	3	4	1	6	4	0
ENSG00000250739.1	0	0	0	0	0	0
ENSG00000272566.1	4	0	0	2	8	0
ENSG00000202215.1	5	0	0	6	2	0
ENSG00000245685.7	5	17	10	24	22	33
ENSG00000250666.1	0	0	0	0	0	0
ENSG00000109536.12	857	793	557	835	1453	865
ENSG00000249462.1	0	0	0	0	0	0
ENSG00000271307.3	0	0	0	0	0	0
ENSG00000251297.1	0	2	0	1	0	1
ENSG00000199572.1	0	0	0	0	0	0
ENSG00000201145.1	0	6	5	0	0	0
ENSG00000224807.5	0	0	0	1	0	0
ENSG00000205097.7	0	0	0	0	0	0
ENSG00000250053.1	0	0	0	0	0	0
ENSG00000214273.4	11	1	4	5	1	0
ENSG00000249003.1	0	0	0	0	0	0
ENSG00000281591.1	0	0	0	0	0	0
ENSG00000277162.1	0	0	0	0	0	0
ENSG00000281720.1	0	0	0	0	0	0
ENSG00000281652.1	0	0	0	0	0	0
ENSG00000281058.1	0	0	0	0	0	0
ENSG00000280799.1	0	0	0	0	0	0
ENSG00000258834.4	0	0	0	0	0	0
ENSG00000280757.1	0	0	0	0	0	0
ENSG00000281627.1	0	0	0	0	0	0
ENSG00000280457.1	0	0	0	0	0	0
ENSG00000260596.5	0	0	0	6	10	3
ENSG00000261914.2	40	45	5	16	64	20
ENSG00000282994.1	0	1	0	0	0	0
ENSG00000250020.1	0	0	0	0	1	0
ENSG00000153404.14	9	9	49	2	24	11
ENSG00000199540.1	0	0	0	0	0	0
ENSG00000185028.4	0	0	0	0	0	0
ENSG00000261434.1	0	0	0	0	0	0
ENSG00000164366.4	1495	2025	1846	1264	2567	1440
ENSG00000260774.1	38	54	44	57	64	67
ENSG00000073578.17	921	910	910	865	1745	1317
ENSG00000286001.1	52	49	46	68	100	78
ENSG00000248925.1	6	4	3	1	0	3
ENSG00000249915.8	333	371	569	704	791	1028
ENSG00000288622.1	0	0	9	11	13	20
ENSG00000250848.1	22	24	17	24	22	16
ENSG00000063438.20	183	196	287	601	503	572
ENSG00000214278.4	0	0	0	0	0	0
ENSG00000250645.1	26	18	48	56	30	88
ENSG00000221990.5	108	150	82	146	159	132
ENSG00000180104.16	3315	3526	3168	4033	4375	3924
ENSG00000188242.4	0	0	0	0	0	0
ENSG00000066230.12	5	7	1	8	13	1
ENSG00000225138.8	894	860	1199	948	1094	781
ENSG00000250385.2	0	0	0	0	0	0
ENSG00000264233.1	0	0	0	0	0	0
ENSG00000249650.1	0	0	0	0	0	0
ENSG00000112877.8	79	60	72	269	105	307
ENSG00000171368.12	6	77	6	19	25	25
ENSG00000271781.1	9	4	0	24	3	10
ENSG00000206077.14	20	35	22	40	5	31
ENSG00000249908.2	0	0	0	0	0	0
ENSG00000285522.1	0	0	0	0	0	0
ENSG00000188818.12	44	123	36	89	30	139
ENSG00000247872.2	0	0	0	0	0	0
ENSG00000028310.18	1612	1623	1779	2205	2307	2631
ENSG00000071539.14	315	210	151	1520	412	2513
ENSG00000287600.1	0	0	0	0	0	1
ENSG00000248949.1	0	0	0	0	0	0
ENSG00000250173.1	0	0	0	0	0	0
ENSG00000215246.5	61	131	0	115	251	112
ENSG00000272347.1	5	8	0	5	21	3
ENSG00000145506.14	315	822	4	216	1226	965
ENSG00000113504.21	3714	4075	2059	4057	4020	2002
ENSG00000263834.1	3	1	0	3	10	0
ENSG00000249201.2	0	0	0	0	0	0
ENSG00000174358.16	0	0	0	0	0	0
ENSG00000164363.10	0	0	0	0	0	0
ENSG00000287486.1	0	0	0	0	0	0
ENSG00000164362.21	0	0	0	0	0	0
ENSG00000263670.1	0	0	0	0	0	0
ENSG00000049656.14	4387	4256	4435	6163	6595	5691
ENSG00000286388.1	739	903	757	877	1103	784
ENSG00000250584.3	0	0	0	0	0	0
ENSG00000248951.2	0	0	0	0	0	0
ENSG00000279908.1	1	0	0	2	19	3
ENSG00000142319.18	0	3	0	0	0	2
ENSG00000153395.10	4150	4616	3457	5833	6081	9036
ENSG00000273742.1	0	7	0	7	1	10
ENSG00000251532.1	2	19	0	0	0	0
ENSG00000185986.12	255	454	462	223	433	265
ENSG00000271119.1	1	0	8	3	0	0
ENSG00000248126.1	1	6	1	6	6	4
ENSG00000188002.10	352	596	813	501	443	411
ENSG00000232615.4	15	17	24	34	26	18
ENSG00000288549.1	0	0	5	0	0	0
ENSG00000263746.1	0	0	0	0	0	0
ENSG00000260066.1	0	0	0	0	0	0
ENSG00000171421.13	936	677	646	923	932	1081
ENSG00000145494.12	910	522	505	934	853	1031
ENSG00000249966.1	0	0	0	0	0	0
ENSG00000250417.1	0	0	0	0	0	0
ENSG00000279222.1	0	0	0	0	0	0
ENSG00000113430.10	0	0	2	2	0	0
ENSG00000249116.1	0	0	0	0	0	0
ENSG00000249326.1	0	0	0	0	0	0
ENSG00000288108.1	0	0	0	0	0	0
ENSG00000248994.2	0	0	0	3	0	0
ENSG00000248597.2	0	0	0	0	0	0
ENSG00000249731.1	0	0	0	4	0	0
ENSG00000201026.1	0	0	0	0	0	0
ENSG00000275733.1	0	0	0	0	0	0
ENSG00000281560.1	0	0	0	0	0	0
ENSG00000259757.1	0	0	0	0	2	0
ENSG00000170561.13	6	5	9	72	281	206
ENSG00000186493.14	4	0	13	47	364	137
ENSG00000249541.1	0	0	0	1	0	0
ENSG00000248137.1	0	0	0	0	0	0
ENSG00000248736.3	0	0	0	0	0	1
ENSG00000249808.3	0	0	0	0	0	0
ENSG00000248118.2	0	0	0	0	0	0
ENSG00000249830.1	0	0	0	0	0	0
ENSG00000250716.1	0	0	0	0	0	0
ENSG00000170549.4	0	0	0	0	0	0
ENSG00000259603.1	0	0	0	0	0	0
ENSG00000248962.1	0	0	0	0	0	0
ENSG00000249994.1	0	0	0	0	0	0
ENSG00000250921.2	0	0	0	0	0	0
ENSG00000260763.1	0	0	0	0	0	0
ENSG00000248973.3	3	0	0	0	0	0
ENSG00000231291.3	0	0	0	0	0	0
ENSG00000251371.1	0	0	0	0	0	0
ENSG00000249521.1	0	0	0	0	0	0
ENSG00000248311.1	0	0	0	0	0	0
ENSG00000249941.1	0	0	0	0	0	0
ENSG00000251506.1	0	0	0	0	0	0
ENSG00000250481.2	0	0	0	0	0	0
ENSG00000215231.8	0	0	0	0	0	0
ENSG00000251426.1	0	0	0	0	0	0
ENSG00000250529.1	0	0	0	0	0	0
ENSG00000223007.1	0	0	0	0	0	0
ENSG00000250579.2	0	0	2	0	0	0
ENSG00000145536.15	0	4	13	13	13	5
ENSG00000250866.1	0	0	0	0	0	0
ENSG00000251568.1	0	2	6	0	1	0
ENSG00000286753.1	33	32	14	20	23	30
ENSG00000248729.1	0	3	0	0	0	1
ENSG00000250808.1	0	0	0	2	0	0
ENSG00000251476.2	0	2	0	4	0	4
ENSG00000164151.12	3673	4911	3831	4315	5646	5010
ENSG00000286986.1	0	0	0	0	0	0
ENSG00000261037.1	0	0	0	0	0	0
ENSG00000259861.1	0	0	0	0	0	0
ENSG00000278913.1	0	0	0	0	0	0
ENSG00000250730.2	0	0	0	0	0	0
ENSG00000250490.1	0	6	0	3	0	1
ENSG00000133398.4	858	938	1057	1379	1777	1315
ENSG00000287031.1	0	3	4	0	4	0
ENSG00000215218.4	0	128	102	1	1	11
ENSG00000271230.1	0	0	0	0	0	0
ENSG00000250056.8	16	86	53	3	18	4
ENSG00000037474.15	2413	2444	2660	4614	3865	4304
ENSG00000145545.12	1776	1814	1603	1314	1489	1730
ENSG00000248677.2	1	40	27	14	4	18
ENSG00000112941.14	1541	1868	1937	2577	2432	2810
ENSG00000251365.4	0	0	1	28	3	14
ENSG00000272071.1	0	0	0	1	0	0
ENSG00000283420.1	0	0	0	0	0	0
ENSG00000250974.4	0	0	0	0	0	0
ENSG00000200243.1	16	10	13	23	34	3
ENSG00000250060.2	0	0	0	0	0	0
ENSG00000212258.1	0	0	0	0	0	0
ENSG00000287790.1	0	0	0	0	0	0
ENSG00000286254.1	0	0	0	0	0	0
ENSG00000237611.2	0	0	0	0	0	0
ENSG00000285689.1	0	0	0	0	0	0
ENSG00000248775.1	0	0	0	0	0	0
ENSG00000251250.3	2	3	13	6	5	1
ENSG00000205976.4	0	0	0	0	0	0
ENSG00000251678.1	0	0	0	0	0	0
ENSG00000250668.2	0	0	0	0	0	0
ENSG00000249638.1	0	0	0	0	0	0
ENSG00000249865.1	0	0	0	0	0	0
ENSG00000223597.3	0	0	0	0	0	0
ENSG00000078295.17	10	104	137	13	64	0
ENSG00000250761.2	0	0	0	0	0	0
ENSG00000215217.7	6	2	0	0	6	0
ENSG00000124275.15	1744	2225	1786	2015	2649	2587
ENSG00000124279.12	279	387	374	470	546	450
ENSG00000251168.1	0	0	0	1	0	0
ENSG00000199773.1	0	0	0	0	0	0
ENSG00000287947.1	0	0	0	0	0	0
ENSG00000280338.1	0	0	0	0	0	0
ENSG00000280251.1	0	0	0	0	0	0
ENSG00000249486.1	0	0	0	0	0	0
ENSG00000288002.1	3	16	0	0	0	0
ENSG00000245729.2	2	2	0	0	0	1
ENSG00000249159.6	12	2	2	0	1	0
ENSG00000251549.2	0	0	0	0	0	0
ENSG00000272049.1	6	4	0	5	8	6
ENSG00000247516.8	263	80	169	146	299	274
ENSG00000250037.1	6	0	0	0	0	0
ENSG00000279075.1	9	7	16	16	11	14
ENSG00000284000.1	0	0	0	0	0	0
ENSG00000249782.2	0	0	0	0	0	0
ENSG00000279097.1	0	0	0	0	0	0
ENSG00000279264.1	0	0	0	0	0	0
ENSG00000250389.1	1	0	0	0	0	0
ENSG00000248765.1	0	0	0	0	0	0
ENSG00000279002.1	3	0	0	0	0	0
ENSG00000280373.1	0	0	0	0	3	0
ENSG00000279125.1	0	1	0	0	0	0
ENSG00000280438.1	0	0	0	0	0	0
ENSG00000278877.1	0	0	0	0	0	0
ENSG00000260981.1	4	0	0	0	0	0
ENSG00000280185.1	0	0	0	0	0	0
ENSG00000250198.3	6	3	0	0	0	0
ENSG00000279635.1	0	0	0	0	0	0
ENSG00000250619.1	3	0	1	0	2	0
ENSG00000112902.12	31029	6952	1646	6139	12866	5389
ENSG00000266415.1	0	0	0	2	0	6
ENSG00000248537.1	0	0	0	0	0	0
ENSG00000279698.1	9	1	0	7	7	15
ENSG00000251370.1	0	0	0	0	0	0
ENSG00000250001.1	10	1	0	17	0	29
ENSG00000250786.2	914	475	584	608	775	659
ENSG00000239112.1	19	10	22	17	44	33
ENSG00000248525.2	0	0	0	0	0	0
ENSG00000169777.7	13	0	4	6	1	10
ENSG00000249781.7	2	1	0	2	6	8
ENSG00000222054.1	0	0	0	0	0	0
ENSG00000286556.1	0	2	0	0	0	0
ENSG00000250814.3	0	0	0	0	0	0
ENSG00000279011.1	0	0	0	0	0	0
ENSG00000279755.1	0	0	0	0	0	0
ENSG00000278874.1	0	0	0	0	0	0
ENSG00000280016.1	0	0	0	0	0	0
ENSG00000249807.1	0	0	0	0	0	0
ENSG00000280449.1	0	0	0	0	0	0
ENSG00000280368.1	0	5	0	9	4	7
ENSG00000260515.1	0	0	0	0	0	0
ENSG00000271998.1	0	0	0	0	0	0
ENSG00000272417.1	0	5	0	5	5	6
ENSG00000150756.14	791	725	935	976	1185	1064
ENSG00000248968.1	0	11	0	0	2	1
ENSG00000150753.12	9037	7683	10011	16857	13995	17061
ENSG00000271980.1	8	21	9	8	26	8
ENSG00000271715.1	0	15	0	8	0	1
ENSG00000164237.9	2977	1826	1014	2027	2010	1796
ENSG00000252341.1	0	0	0	2	9	1
ENSG00000252671.1	0	0	0	0	0	0
ENSG00000280369.1	0	0	0	0	0	0
ENSG00000259802.1	15	20	9	25	18	31
ENSG00000145495.16	10586	12157	11434	11329	15372	12994
ENSG00000250600.1	0	0	0	0	0	0
ENSG00000145491.12	35	9	11	2	34	28
ENSG00000277073.1	0	0	0	0	0	0
ENSG00000246016.2	0	0	10	0	0	3
ENSG00000244361.1	0	0	0	0	2	0
ENSG00000249166.1	0	0	0	0	0	0
ENSG00000249396.2	0	0	0	4	0	0
ENSG00000249160.4	1	0	0	0	0	0
ENSG00000280017.1	0	0	0	0	0	0
ENSG00000279450.1	0	0	0	0	0	0
ENSG00000164236.12	4712	5206	3912	5953	9813	2880
ENSG00000250106.1	0	0	0	0	0	0
ENSG00000251196.1	3	1	1	0	9	0
ENSG00000251548.1	3	5	1	7	10	2
ENSG00000279979.1	0	0	16	1	0	0
ENSG00000278865.1	1	8	0	2	1	4
ENSG00000112977.16	9515	6510	7486	12195	13245	12394
ENSG00000272324.5	13	9	11	13	19	3
ENSG00000250576.1	0	0	0	0	0	0
ENSG00000169862.19	0	0	0	1	0	1
ENSG00000207312.1	0	0	0	0	0	0
ENSG00000212305.1	0	0	0	0	0	0
ENSG00000248783.1	0	0	0	0	0	0
ENSG00000248131.6	0	0	0	0	0	0
ENSG00000251112.2	0	0	0	0	0	0
ENSG00000249053.1	0	0	0	0	0	0
ENSG00000248457.1	0	0	0	0	0	0
ENSG00000248145.2	0	0	0	0	0	0
ENSG00000242608.1	0	0	0	0	0	0
ENSG00000248462.1	0	0	0	0	0	0
ENSG00000243744.2	1	1	0	0	4	2
ENSG00000039139.11	3419	605	723	823	1115	2659
ENSG00000251423.3	0	0	0	0	0	0
ENSG00000038382.20	28282	28340	25971	32289	33680	36464
ENSG00000287581.1	2	2	5	3	2	0
ENSG00000145569.6	2358	1973	1688	7032	13602	1324
ENSG00000248791.1	13	2	3	51	52	14
ENSG00000250526.1	0	2	0	4	2	0
ENSG00000250182.3	4485	6069	3036	4261	7023	2235
ENSG00000261360.1	26	28	62	5	55	33
ENSG00000154124.5	1779	2100	2670	2121	2534	3030
ENSG00000154122.14	4449	10100	15870	5007	14179	13863
ENSG00000286970.1	4	0	8	3	0	1
ENSG00000249485.1	20	35	23	31	27	106
ENSG00000264792.1	2	0	1	7	8	5
ENSG00000272057.1	2	3	7	3	9	3
ENSG00000249928.2	0	0	0	0	0	0
ENSG00000250662.1	0	0	0	0	0	0
